54, 1001
Walter, Paul J.
St. Edward's University
Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-4 RSB Radiosondes
TRACER-Sonde
1, 1
2022, 07, 05, 2023, 09, 05
1
Index_number, number, time elapsed in seconds since launch
21
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999
Seconds_UTC, seconds, startseconds_of_day_since_00:00:00_UTC
Pressure_hPa, hPa, Met_StaticPressure_InSitu_None
Altitude_km, km, Platform_GeopotentialAltitude_InSitu_None
Temp_degC, degC, Met_StaticTemperature_InSitu_None
RawTemp_degC, degC, Met_RawStaticTemperature_InSitu_None
Theta_K, K, Met_StaticPotentialTemperature_InSitu_None
RH_percent, percent, Met_RelativeHumidityWater_InSitu_None
Frostpoint_degC, degC, Met_RelativeStaticFrostPoint_InSitu_None
InternalTemp_degC, degC,  Platform_RadiosondeInternalTemperature_InSitu_None
Ozonecurrent_uA, uA, Gas_O3_InSitu_S_Current
Ozone_mPa, mPa, Gas_O3_InSitu_S_PartialPressure
Ozone_ppbv, ppbv, Gas_O3_InSitu_S_AVMR
Ozone_Col_DU, DU, Gas_O3_VertCol_S_CNDAMB, Ozone column amount in Dobson Units
PumpTemp_degC, degC, Platform_PumpStaticTemperature_InSitu_None
OzoneBattery_V, V,  Platform_OzonesondeBattery_InSitu_None
PumpCurrent_mA, mA,  Platform_PumpCurrent_InSitu_None
Latitude_deg, deg, Platform_Latitude_InSitu_None
Longitude_deg, deg, Platform_Longitude_InSitu_None
GPSAltitude_km, km, Platform_GPSAltitude_InSitu_None
WindSpeed_mps, mps, Met_WindSpeed_InSitu_None
WindDirection_deg, deg, Met_WindDirection_InSitu_None
0
19
PI_CONTACT_INFO: Paul Walter (St. Edward's University, email: pauljw@stedwards.edu)
PLATFORM: La Porte, TX 
LOCATION: 29.670, -95.059, 7 m altitude AMSL
ASSOCIATED_DATA: N/A
INSTRUMENT_INFO: radiosonde = iMet Radiosonde 65072, ozonesonde = 2Z39686 ECC En-Sci, 0.5% KI half buffer solutions with 5ATBMT pump corrections
DATA_INFO: All data 1 Hz interval; Launch time [UTC] = 11:17:57
UNCERTAINTY:  ~5-10% in troposphere, ~5% in stratosphere, see Witte et al., (2018, JGR) for more details
ULOD_FLAG: -77777
ULOD_VALUE: N/A
LLOD_FLAG: -88888
LLOD_VALUE: N/A
DM_CONTACT_INFO: Paul Walter (St. Edward's University, phone: 512-364-3158, email: pauljw@stedwards.edu)
PROJECT_INFO: TRACER-Sonde: O3 as a tracer for convective mixing; https://www.arm.gov/research/campaigns/amf2022tracero3https://www.arm.gov/research/campaigns/amf2021tracer
STIPULATIONS_ON_USE:  Please consult PI prior to use/publication, and ensure the data have not been updated since your download.  Use of data should include an offer of co-authorship on any manuscript to the PI, DM, and James Flynn (jhflynn@central.uh.edu). 
OTHER_COMMENTS:
REVISION: R1
R1: Corrects header to list the ozone mixing ratio having units of ppbv.
R0: Final data submission
Index_number, Seconds_UTC, Pressure_hPa, Altitude_km, Temp_degC, RawTemp_degC, Theta_K, RH_percent, Frostpoint_degC, InternalTemp_degC, Ozonecurrent_uA, Ozone_mPa, Ozone_ppbv, Ozone_Col_DU, PumpTemp_degC, OzoneBattery_V, PumpCurrent_mA, Latitude_deg, Longitude_deg, GPSAltitude_km, WindSpeed_mps, WindDirection_deg
   0, 40677,   1016.17,      0.0068,     26.09,     26.25,    297.8717,     88.8,     24.10,     34.73,      0.167,      0.6092,      6.0,      0.0000,     27.26,     17.0,     78.0,     29.6700,    -95.0591,      0.000, -99999.00, -99999.00
   1, 40678,   1016.17,      0.0068,     26.07,     26.23,    297.8518,     88.9,     24.10,     34.73,      0.167,      0.6092,      6.0,      0.0000,     27.26,     17.0,     77.0,     29.6700,    -95.0591,      0.000, -99999.00, -99999.00
   2, 40679,   1016.19,      0.0067,     26.10,     26.26,    297.8800,     89.0,     24.14,     34.74,      0.167,      0.6092,      6.0,      0.0000,     27.26,     17.0,     78.0,     29.6700,    -95.0591,      0.000, -99999.00, -99999.00
   3, 40680,   1016.19,      0.0067,     26.12,     26.28,    297.8999,     89.0,     24.16,     34.74,      0.167,      0.6092,      6.0,      0.0000,     27.26,     17.0,     78.0,     29.6700,    -95.0591,      0.000, -99999.00, -99999.00
   4, 40681,   1016.18,      0.0067,     26.08,     26.24,    297.8609,     89.0,     24.12,     34.74,      0.167,      0.6092,      6.0,      0.0005,     27.26,     17.0,     78.0,     29.6700,    -95.0591,      0.001, -99999.00, -99999.00
   5, 40682,   1016.17,      0.0068,     26.06,     26.22,    297.8418,     89.0,     24.10,     34.74,      0.167,      0.6092,      6.0,     -0.0000,     27.26,     17.0,     78.0,     29.6700,    -95.0591,      0.000, -99999.00, -99999.00
   6, 40683,   1016.16,      0.0069,     26.06,     26.22,    297.8427,     89.0,     24.10,     34.75,      0.167,      0.6092,      6.0,     -0.0000,     27.26,     17.0,     78.0,     29.6700,    -95.0591,      0.000, -99999.00, -99999.00
   7, 40684,   1016.17,      0.0068,     26.08,     26.24,    297.8618,     89.3,     24.18,     34.75,      0.167,      0.6092,      6.0,     -0.0000,     27.26,     17.0,     78.0,     29.6700,    -95.0591,      0.000, -99999.00, -99999.00
   8, 40685,   1016.17,      0.0068,     26.09,     26.25,    297.8717,     89.2,     24.17,     34.75,      0.167,      0.6092,      6.0,     -0.0000,     27.26,     17.0,     77.0,     29.6700,    -95.0591,      0.000, -99999.00, -99999.00
   9, 40686,   1016.18,      0.0067,     26.13,     26.29,    297.9107,     89.3,     24.23,     34.75,      0.167,      0.6092,      6.0,     -0.0000,     27.26,     17.0,     77.0,     29.6700,    -95.0591,      0.000, -99999.00, -99999.00
  10, 40687,   1016.16,      0.0069,     26.11,     26.27,    297.8925,     89.2,     24.19,     34.75,      0.167,      0.6092,      6.0,     -0.0000,     27.27,     17.0,     77.0,     29.6700,    -95.0591,      0.000, -99999.00, -99999.00
  11, 40688,   1016.17,      0.0068,     26.07,     26.23,    297.8518,     89.2,     24.15,     34.76,      0.167,      0.6093,      6.0,     -0.0000,     27.34,     17.0,     77.0,     29.6700,    -95.0591,      0.000, -99999.00, -99999.00
  12, 40689,   1016.16,      0.0069,     26.08,     26.24,    297.8626,     89.3,     24.18,     34.76,      0.167,      0.6094,      6.0,     -0.0000,     27.36,     17.0,     77.0,     29.6700,    -95.0591,      0.000, -99999.00, -99999.00
  13, 40690,   1016.17,      0.0068,     26.04,     26.20,    297.8219,     89.3,     24.14,     34.76,      0.167,      0.6094,      6.0,     -0.0000,     27.36,     17.0,     77.0,     29.6700,    -95.0591,      0.000, -99999.00, -99999.00
  14, 40691,   1016.17,      0.0068,     26.02,     26.18,    297.8020,     89.2,     24.10,     34.76,      0.167,      0.6094,      6.0,     -0.0000,     27.36,     17.0,     77.0,     29.6700,    -95.0591,      0.000, -99999.00, -99999.00
