54, 1001
Walter, Paul J.
St. Edward's University
Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-4 RSB Radiosondes
TRACER-Sonde
1, 1
2022, 08, 05, 2023, 09, 05
1
Index_number, number, time elapsed in seconds since launch
21
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999
Seconds_UTC, seconds, startseconds_of_day_since_00:00:00_UTC
Pressure_hPa, hPa, Met_StaticPressure_InSitu_None
Altitude_km, km, Platform_GeopotentialAltitude_InSitu_None
Temp_degC, degC, Met_StaticTemperature_InSitu_None
RawTemp_degC, degC, Met_RawStaticTemperature_InSitu_None
Theta_K, K, Met_StaticPotentialTemperature_InSitu_None
RH_percent, percent, Met_RelativeHumidityWater_InSitu_None
Frostpoint_degC, degC, Met_RelativeStaticFrostPoint_InSitu_None
InternalTemp_degC, degC,  Platform_RadiosondeInternalTemperature_InSitu_None
Ozonecurrent_uA, uA, Gas_O3_InSitu_S_Current
Ozone_mPa, mPa, Gas_O3_InSitu_S_PartialPressure
Ozone_ppbv, ppbv, Gas_O3_InSitu_S_AVMR
Ozone_Col_DU, DU, Gas_O3_VertCol_S_CNDAMB, Ozone column amount in Dobson Units
PumpTemp_degC, degC, Platform_PumpStaticTemperature_InSitu_None
OzoneBattery_V, V,  Platform_OzonesondeBattery_InSitu_None
PumpCurrent_mA, mA,  Platform_PumpCurrent_InSitu_None
Latitude_deg, deg, Platform_Latitude_InSitu_None
Longitude_deg, deg, Platform_Longitude_InSitu_None
GPSAltitude_km, km, Platform_GPSAltitude_InSitu_None
WindSpeed_mps, mps, Met_WindSpeed_InSitu_None
WindDirection_deg, deg, Met_WindDirection_InSitu_None
0
19
PI_CONTACT_INFO: Paul Walter (St. Edward's University, email: pauljw@stedwards.edu)
PLATFORM: La Porte, TX 
LOCATION: 29.670, -95.059, 7 m altitude AMSL
ASSOCIATED_DATA: N/A
INSTRUMENT_INFO: radiosonde = iMet Radiosonde 58038, ozonesonde = 2Z39674 ECC En-Sci, 0.5% KI half buffer solutions with 5ATBMT pump corrections
DATA_INFO: All data 1 Hz interval; Launch time [UTC] = 10:58:54
UNCERTAINTY:  ~5-10% in troposphere, ~5% in stratosphere, see Witte et al., (2018, JGR) for more details
ULOD_FLAG: -77777
ULOD_VALUE: N/A
LLOD_FLAG: -88888
LLOD_VALUE: N/A
DM_CONTACT_INFO: Paul Walter (St. Edward's University, phone: 512-364-3158, email: pauljw@stedwards.edu)
PROJECT_INFO: TRACER-Sonde: O3 as a tracer for convective mixing; https://www.arm.gov/research/campaigns/amf2022tracero3https://www.arm.gov/research/campaigns/amf2021tracer
STIPULATIONS_ON_USE:  Please consult PI prior to use/publication, and ensure the data have not been updated since your download.  Use of data should include an offer of co-authorship on any manuscript to the PI, DM, and James Flynn (jhflynn@central.uh.edu). 
OTHER_COMMENTS:
REVISION: R1
R1: Corrects header to list the ozone mixing ratio having units of ppbv.
R0: Final data submission
Index_number, Seconds_UTC, Pressure_hPa, Altitude_km, Temp_degC, RawTemp_degC, Theta_K, RH_percent, Frostpoint_degC, InternalTemp_degC, Ozonecurrent_uA, Ozone_mPa, Ozone_ppbv, Ozone_Col_DU, PumpTemp_degC, OzoneBattery_V, PumpCurrent_mA, Latitude_deg, Longitude_deg, GPSAltitude_km, WindSpeed_mps, WindDirection_deg
   0, 39534,   1014.87,      0.0069,     24.66,     24.66,    296.5567,     94.3,     23.68,     32.04,      0.020,      0.0783,      0.8,      0.0000,     30.20,     16.9,     71.0,     29.6700,    -95.0590,     -0.002, -99999.00, -99999.00
   1, 39535,   1014.87,      0.0069,     24.66,     24.66,    296.5567,     94.3,     23.68,     32.05,      0.020,      0.0783,      0.8,      0.0001,     30.20,     16.9,     71.0,     29.6700,    -95.0590,     -0.001, -99999.00, -99999.00
   2, 39536,   1014.88,      0.0068,     24.67,     24.67,    296.5658,     94.3,     23.69,     32.05,      0.020,      0.0783,      0.8,      0.0001,     30.20,     16.9,     71.0,     29.6700,    -95.0590,     -0.001, -99999.00, -99999.00
   3, 39537,   1014.88,      0.0068,     24.67,     24.67,    296.5658,     94.3,     23.69,     32.05,      0.020,      0.0783,      0.8,      0.0000,     30.20,     16.9,     71.0,     29.6700,    -95.0590,     -0.002, -99999.00, -99999.00
   4, 39538,   1014.87,      0.0069,     24.68,     24.68,    296.5766,     94.4,     23.72,     32.05,      0.020,      0.0783,      0.8,      0.0000,     30.20,     16.9,     71.0,     29.6700,    -95.0590,     -0.002, -99999.00, -99999.00
   5, 39539,   1014.87,      0.0069,     24.69,     24.69,    296.5866,     94.4,     23.73,     32.06, -99999.000, -99999.0000, -99999.0, -99999.0000, -99999.00, -99999.0, -99999.0,     29.6700,    -95.0590,     -0.002, -99999.00, -99999.00
   6, 39540,   1014.87,      0.0069,     24.68,     24.68,    296.5766,     94.5,     23.74,     32.06,      0.020,      0.0783,      0.8,      0.0000,     30.20,     16.9,     71.0,     29.6700,    -95.0590,     -0.002, -99999.00, -99999.00
   7, 39541,   1014.87,      0.0069,     24.68,     24.68,    296.5766,     94.5,     23.74,     32.06,      0.020,      0.0783,      0.8,      0.0000,     30.20,     16.9,     71.0,     29.6700,    -95.0590,     -0.002, -99999.00, -99999.00
   8, 39542,   1014.86,      0.0070,     24.68,     24.68,    296.5774,     94.5,     23.74,     32.07,      0.020,      0.0783,      0.8,      0.0000,     30.20,     16.9,     71.0,     29.6700,    -95.0590,     -0.002, -99999.00, -99999.00
   9, 39543,   1014.87,      0.0069,     24.68,     24.68,    296.5766,     94.5,     23.74,     32.07,      0.020,      0.0783,      0.8,      0.0000,     30.20,     16.9,     71.0,     29.6700,    -95.0590,     -0.002, -99999.00, -99999.00
  10, 39544,   1014.87,      0.0069,     24.70,     24.70,    296.5965,     94.5,     23.76,     32.07,      0.020,      0.0783,      0.8,      0.0000,     30.20,     16.9,     71.0,     29.6700,    -95.0590,     -0.002, -99999.00, -99999.00
  11, 39545,   1014.87,      0.0069,     24.69,     24.69,    296.5866,     94.5,     23.75,     32.07,      0.020,      0.0783,      0.8,      0.0000,     30.20,     16.9,     71.0,     29.6700,    -95.0590,     -0.002, -99999.00, -99999.00
  12, 39546,   1014.87,      0.0069,     24.71,     24.71,    296.6065,     94.5,     23.77,     32.08,      0.020,      0.0783,      0.8,      0.0000,     30.21,     16.9,     71.0,     29.6700,    -95.0590,     -0.002, -99999.00, -99999.00
  13, 39547,   1014.87,      0.0069,     24.70,     24.70,    296.5965,     94.5,     23.76,     32.08,      0.020,      0.0783,      0.8,      0.0000,     30.24,     16.9,     71.0,     29.6700,    -95.0590,     -0.002, -99999.00, -99999.00
  14, 39548,   1014.86,      0.0070,     24.68,     24.68,    296.5774,     94.5,     23.74,     32.08,      0.020,      0.0783,      0.8,      0.0000,     30.28,     16.9,     71.0,     29.6700,    -95.0590,     -0.002, -99999.00, -99999.00
  15, 39549,   1014.88,      0.0068,     24.70,     24.70,    296.5957,     94.5,     23.76,     32.08,      0.020,      0.0784,      0.8,      0.0000,     30.31,     16.9,     71.0,     29.6700,    -95.0590,     -0.002, -99999.00, -99999.00
  16, 39550,   1014.86,      0.0070,     24.69,     24.69,    296.5874,     94.5,     23.75,     32.09,      0.020,      0.0784,      0.8,      0.0000,     30.31,     16.9,     71.0,     29.6700,    -95.0590,     -0.002, -99999.00, -99999.00
  17, 39551,   1014.88,      0.0068,     24.70,     24.70,    296.5957,     94.5,     23.76,     32.09,      0.020,      0.0784,      0.8,      0.0000,     30.31,     16.9,     71.0,     29.6700,    -95.0590,     -0.002, -99999.00, -99999.00
  18, 39552,   1014.88,      0.0068,     24.67,     24.67,    296.5658,     94.6,     23.74,     32.09,      0.020,      0.0784,      0.8,      0.0001,     30.31,     16.9,     71.0,     29.6700,    -95.0590,     -0.001, -99999.00, -99999.00
  19, 39553,   1014.76,      0.0079,     24.68,     24.68,    296.5858,     94.5,     23.74,     32.09,      0.020,      0.0784,      0.8,      0.0001,     30.31,     16.9,     71.0,     29.6700,    -95.0590,      0.000, -99999.00, -99999.00
  20, 39554,   1014.41,      0.0109,     24.84,     24.84,    296.7744,     94.5,     23.90,     32.10,      0.020,      0.0784,      0.8,      0.0005,     30.31,     16.9,     71.0,     29.6700,    -95.0590,      0.005, -99999.00, -99999.00
  21, 39555,   1013.94,      0.0150,     25.23,     25.23,    297.2021,     94.5,     24.28,     32.10,      0.020,      0.0784,      0.8,      0.0010,     30.31,     16.9,     71.0,     29.6700,    -95.0590,      0.011, -99999.00, -99999.00
